NAME,population_estimate,population_margin,state,county,tract,block group
"Block Group 2, Census Tract 19, Multnomah County, Oregon",1239,137,41,51,1900,2
"Block Group 1, Census Tract 25.01, Multnomah County, Oregon",685,128,41,51,2501,1
"Block Group 5, Census Tract 25.01, Multnomah County, Oregon",791,134,41,51,2501,5
"Block Group 3, Census Tract 25.01, Multnomah County, Oregon",1027,152,41,51,2501,3
"Block Group 4, Census Tract 25.01, Multnomah County, Oregon",677,146,41,51,2501,4
"Block Group 6, Census Tract 25.01, Multnomah County, Oregon",610,104,41,51,2501,6
"Block Group 2, Census Tract 25.01, Multnomah County, Oregon",882,127,41,51,2501,2
"Block Group 2, Census Tract 26, Multnomah County, Oregon",966,147,41,51,2600,2
"Block Group 3, Census Tract 26, Multnomah County, Oregon",822,173,41,51,2600,3
"Block Group 1, Census Tract 26, Multnomah County, Oregon",1107,166,41,51,2600,1
"Block Group 1, Census Tract 27.02, Multnomah County, Oregon",1317,203,41,51,2702,1
"Block Group 2, Census Tract 27.02, Multnomah County, Oregon",1837,216,41,51,2702,2
"Block Group 5, Census Tract 29.02, Multnomah County, Oregon",1314,297,41,51,2902,5
"Block Group 1, Census Tract 29.02, Multnomah County, Oregon",836,195,41,51,2902,1
"Block Group 2, Census Tract 29.02, Multnomah County, Oregon",862,286,41,51,2902,2
"Block Group 3, Census Tract 29.02, Multnomah County, Oregon",1032,274,41,51,2902,3
"Block Group 4, Census Tract 29.02, Multnomah County, Oregon",1460,368,41,51,2902,4
"Block Group 1, Census Tract 35.02, Multnomah County, Oregon",1030,174,41,51,3502,1
"Block Group 2, Census Tract 35.02, Multnomah County, Oregon",1396,162,41,51,3502,2
"Block Group 3, Census Tract 37.01, Multnomah County, Oregon",1261,296,41,51,3701,3
"Block Group 2, Census Tract 37.01, Multnomah County, Oregon",866,155,41,51,3701,2
"Block Group 4, Census Tract 37.01, Multnomah County, Oregon",969,266,41,51,3701,4
"Block Group 1, Census Tract 37.01, Multnomah County, Oregon",1292,347,41,51,3701,1
"Block Group 4, Census Tract 39.02, Multnomah County, Oregon",1091,211,41,51,3902,4
"Block Group 1, Census Tract 39.02, Multnomah County, Oregon",665,164,41,51,3902,1
"Block Group 2, Census Tract 39.02, Multnomah County, Oregon",801,158,41,51,3902,2
"Block Group 3, Census Tract 39.02, Multnomah County, Oregon",844,167,41,51,3902,3
"Block Group 3, Census Tract 48, Multnomah County, Oregon",729,179,41,51,4800,3
"Block Group 1, Census Tract 48, Multnomah County, Oregon",1170,218,41,51,4800,1
"Block Group 2, Census Tract 48, Multnomah County, Oregon",947,224,41,51,4800,2
"Block Group 3, Census Tract 49, Multnomah County, Oregon",1300,275,41,51,4900,3
"Block Group 2, Census Tract 49, Multnomah County, Oregon",1117,204,41,51,4900,2
"Block Group 1, Census Tract 49, Multnomah County, Oregon",1617,209,41,51,4900,1
"Block Group 2, Census Tract 67.02, Multnomah County, Oregon",1068,174,41,51,6702,2
"Block Group 1, Census Tract 67.02, Multnomah County, Oregon",2437,442,41,51,6702,1
"Block Group 4, Census Tract 105, Multnomah County, Oregon",968,276,41,51,10500,4
"Block Group 2, Census Tract 105, Multnomah County, Oregon",1025,376,41,51,10500,2
"Block Group 1, Census Tract 105, Multnomah County, Oregon",1155,335,41,51,10500,1
"Block Group 3, Census Tract 105, Multnomah County, Oregon",764,218,41,51,10500,3
"Block Group 1, Census Tract 82.01, Multnomah County, Oregon",1003,176,41,51,8201,1
"Block Group 3, Census Tract 82.01, Multnomah County, Oregon",776,233,41,51,8201,3
"Block Group 2, Census Tract 82.01, Multnomah County, Oregon",1170,288,41,51,8201,2
"Block Group 2, Census Tract 96.03, Multnomah County, Oregon",1859,438,41,51,9603,2
"Block Group 1, Census Tract 96.03, Multnomah County, Oregon",2185,471,41,51,9603,1
"Block Group 3, Census Tract 102, Multnomah County, Oregon",2209,520,41,51,10200,3
"Block Group 1, Census Tract 102, Multnomah County, Oregon",1532,388,41,51,10200,1
"Block Group 2, Census Tract 102, Multnomah County, Oregon",2510,429,41,51,10200,2
"Block Group 3, Census Tract 32, Multnomah County, Oregon",680,126,41,51,3200,3
"Block Group 2, Census Tract 32, Multnomah County, Oregon",1258,298,41,51,3200,2
"Block Group 4, Census Tract 32, Multnomah County, Oregon",1168,167,41,51,3200,4
"Block Group 1, Census Tract 32, Multnomah County, Oregon",1006,296,41,51,3200,1
"Block Group 1, Census Tract 33.02, Multnomah County, Oregon",1323,266,41,51,3302,1
"Block Group 2, Census Tract 33.02, Multnomah County, Oregon",1887,312,41,51,3302,2
"Block Group 4, Census Tract 34.01, Multnomah County, Oregon",1032,234,41,51,3401,4
"Block Group 1, Census Tract 34.01, Multnomah County, Oregon",1051,367,41,51,3401,1
